point,doc
8,"컨셉과 상황설정, 즉 초반부의 스토리텔링은 아주 흥미롭고 이색적입니다. 템포도 빠른 편이지요. 그러나 중반부에서 살짝 지루함이 느껴집니다. 물론 그런 장면이 있어야 후반부의 성장과 교훈의 장면이 힘을 받겠지만, 풀어내는 방식이 아쉬웠습니다. 그와는 별개로 '애니메이션'이라는 장르의 특징상 캐릭터나 주변 오브젝트의 작화 퀄리티, 움직임 등은 매우 뛰어납니다."
10,한국 액션이 진짜 할리우드 급으로 나올 수 있단 걸 보여주네요 스트레스 풀기 딱 좋아요!!
10,액션은 더 화려해졌네요. 추천합니다!
10,볼만했음. 우리가 쥬라기월드 시리즈를 보는이유는 잔혹한 공룡에 쫓기는 스릴과 공포감을 느끼려고 보는것임. 근데 이번 쥬라기월드는 역대 쥬라기 공룡 영화중에서 그걸 다 채워줌 1편과 더불어 이 마지막편도 수작임. 대신 내용은 별거없고 공룡에게 당하는걸 위주로 짜릿하게 잘만든 킬링타임 영화임.
8,초반에는 이게 뭔 내용인지 이해가 안돼서 좀 지루한 감이 있었는데 후반에 설명이 나오더라고요 액션씬은 볼만한데 넘 닌자인줄 역시 구자윤 동생이라 졸라 쎄요
2,마녀를 5번이상 본거같은데 마녀를 한번 더보는게 재미있겠다지루하고 특별한것도 없고 내용도 그닥이고....
10,기대 이상으로 괜춘ㅋㅋㅋ 다음이 또 기대되네
5,"연기는 훌륭했지만, 영화는 재미가 없었습니다."
1,최악입니다 최악이에요
4,진짜 3류 짜장영화같다. 1편 안보고 가서 딴건 기대안했고 액션만 보러 갔는데 카메라만 겁나 흔들어대는 통에 액션의 동선 자체가 안보여서 뭔 일이 일어나는지 모르겠음. 게다가 대부분의 액션이 Cg같은데 움직임이 어색해서 보는 내내 기시감이 느껴졌음. 캐릭터들의 행동이나 감정선도 뜬금없고 대사도 욕이나 똥폼잡는 오글거림이 강함. 김다미가 나온다는걸 몰랐으면 중간에 뛰쳐나왔을 것 같다
2,억지감성 진부하고 지루하게 만든 스토리 액션도 제대로 안보이고 최악이였음 마녀는1으로 끝나야했다
2,애들이 왜케 연기를 못하는지? 이종석...ㅠㅠ스토리도 좀 유치찬란하더이다.실망이야~
6,아이들이 좋아할 것 같은 영화예요
10,박은빈과 성유빈의 남매 연기는 진짜 찐 남매 케미ㅋㅋㅋㅋ너무 너무 재미있었어요
4,흔해빠진 얘기에다 억지 비장함. 거기다 김옥빈의 파워부OO지.
1,"지루합니다.,.,.,.,."
10,이렇게 잼있는데 1점준사람들 이해가안가네. .다음편 기대돼요~!!
10,너무 재미있게 봄
4,뭐지 ...? 진짜 재미없다 ;; 그냥 브로커 볼 걸 그랬다
10,보는내내 빠져들어 잼나게 봤어요ㅎㅎㅎ시간 가는 줄 모르게 잘봤습니다
10,
1,쓰레기입니다
2,"감독님 일본애니 압수 해야됨어디서 많이 본 것 같은.. 뭔가 허세가득 가오만 잔득 잡는데 알맹이 없는 빈껍데기.. 가오는 연기로 잡아야 되는데 그게 받쳐주는 연기력의 배우는 없네요뭔 말을 하는지 1편 마냥 친절하게 알려주진 못해도 누군간 설명 해줘야 될거 아닙니까..? 제일 문제는 여주가 매력이 없어요.. 김다미 만큼 힘도 쎄야되는데 귀엽게도 해야겠고, 근데 또 섬뜩할 만큼 잔인도 해야겠고, 근데 또 따뜻한 마음도 가져야됨. 거기에 너무 집착한 나머지 이도저도 아닌 여주가 된것 같아 안타깝습니다. 이종석은 대체 왜..!"
10,끌고가는 스토리나 분위기는 지루했습니다그럼에도 처음부터 끝까지 긴장하고 봤습니다 왜일까 싶었는데 어떤 장면이 연출될지 모르고 있어서 인듯합니다. 싸움신을 비공개로 홍보한건 잘한거 같습니다. 싸움신 헐리우드 만큼 완벽했습니다
10,최고!!!! 끝나고 박수나오는거 처음봣음..
10,액션이 시원시원 하네요 ~ 신시아 되게 매력적이였어요 ~
10,스토리 내용에 대해 호불호가 갈릴 수 있지만 꼭 보세여 유치하지만 시원시원한 액션이 좋았습니다 ㅎㅎ
6,아들과 잘보고 왔어요 재미있대요
10,멋져요 우리나라 영화라는게 넘 자랑스럽네요
4,"메뚜기 왜이렇게 많이 나오고, cg는 왜또 후퇴했니?? 공룡들 목이랑 눈처리가 너무 부자연스러움 ㅋㅋ 보는내가 민망하더라"
2,광우뻥 선동이 생각나네
10,재미있었음 구라안치고 헐리웃 액션 영화에 비빌만함ㅋㅋ
10,스타일리쉬한 액션 좋았고 스토리도 지루하지 않고 재미있었습니다. 마녀3편도 기대되네요
1,영화관에서 주식차트본건 처음입니다
1,이게 무슨영화인지....?
2,이딴걸 평점 7점이나 준다고?ㅋㅋ
5,'삭스' 혼자 다 하는 영화
8,끝까지 재밌게 잘봤어요 1편보단 다소 아쉽지만요 3편도 얼른 나왔으면 좋겠어요 ㅎㅎ
10,무조건 보세요 정말 꿀잼입니다ㅠㅠ
10,한국에서 이런 시리즈가!!! 잼있다!!!
1,이걸 왜봤을까... CG도 조잡스럽고 진짜 저예산 영화인듯.
1,영화끝나기 20분전까지 아니 끝나기전까지스토리 하나도 모르겠다영화어떻기 출시했는지 의문..
10,성유빈이 대호 보는 장면에서 진짜 뿜었다..ㅋㅋㅋㅋ 액션도 재밌고 배우들 연기 미쳤ㅋㅋㅋ
1,뭘 잘했다고 아주 위인 납셨네 납셨어
10,이정도면 잘만든거 아님?
5,"밋밋하니 일본감독 분위기야. 너무 졸려. 내용은 없진 않은데, 감독 연출부족."
6,원보다 노잼액션신만 볼만함
6,영상미는 좋지만 내용은 그저그랬어요
1,흠...? 흐음? 각본을 급하게 수정하셧나.. 흐음... 그냥 그랬어요..
5,픽사 작품치고는 너무 무난한 느낌
10,이거 완전 테라 루나 코인이네ㅋㅋㅋㅋ 현실고증 ㅁㅊ
10,최고 였어요
4,1도 재미없었는데 2도 여전히.. 배우들이 아깝다
10,주인공 바뀐다고 했을 때 색안경 꼈었던 내가 밉다.. 새로운 인물과 액션씬도 좋고 1편 보다 확실히 더 업그레이드 된건 사실
8,잘보고 왔습니다 픽사영화라서 기대를 조금 했었습니다
10,개연성 타령하는 애들은 원작 소설은 알고 말하나??? 소설대로 간거다. 결말만 빼고 소설에선 둘이 같이 전두엽먹고 알헨 가서 사랑하며 끝난다. 리들리스콧이 잘 만든 영화다. 개연성 타령은... 좀 알고 글써라
10,걍 지린다라는 말밖에 안나옴
10,멋지고 재밌게 잘 만든 영화 너무 재밌다
1,욕이 많이 나오는데 너무 어색함외국어가 많이 나오는데 너무 어색함센척 폼 잡는 것이 너무 오글댐전체적으로 실망
10,솔직히 오늘극장가서보고왔는데진짜재밋었음 여기 평에 별점테러보고걱정했는데2시간넘는시간금방갔음스토리도 좋고이해잘가든데그리고액션이 너무영화같아서좋음약간드래곤볼같은?그리고끝나고자막다올라가고 쿠키영상있으니꼭보시길그리고신시아 너무쎄다 극강캐릭
3,새로운 출연진은 다들 워낙 연기를 잘해서 연기는 상관없는데 스토리에 굳이 이렇게까지 길게 보여줘야 되나 싶은 이야기도 많고 마녀를 찾는 사람들이 중구난방으로 나오고 다들 중 2병 걸린 듯한 영양가 없는 유치한 대사만 하는데.. 어차피 세계관에서 마녀가 강한 건 아니까 다른 인물들은 좀 다른 식으로 풀었으면 좋았겠는데 너무 그냥 성장만화 + 3편을 위한 오프닝 같은 영화
1,"정말 예술 영화로 치더라도 너무 재미없다재미, 감동, 신선함. 뭐하나 없음 진짜 이 배우들 쓰다가 뭘한거지 ㅋㅋ"
10,마녀 3가 빨리 나오길!!!
4,조오오오555오오올라  재미엄씀 ㅡㅡ
4,서론이 너무나도 길고.. 화면전환이 잦아 영화시청이 피곤했음. 액션신은 무슨 드래곤볼이 되어버렸고 너무 기대하고 봐서 그런건지는 모르겠는데 실망이 큼ㅠ
10,화려한 액션으로 시간 가는 줄 모르고 보게 됩니다 신시아 매력있더라구요
4,누가 재미있다고  했냐?
10,화려한 액션 3편을 위한 작품  1편 꼭 보고 보세요
10,크리스 목소리도 넘 좋고ㅠㅠ 버즈라이트이어2도 나왔으면ㅠㅠ
10,삭스 분양 받으려면 얼마나 오래 살아야 하나ㅎㅎㅎㅎ
8,액션씬은 신세계다.3편을 위한 영화다~^^
10,버즈 사랑해 삭스야 사랑해
10,많은 생각와 여운을 남긴 영화 추천해요!!!
10,잘보고있다가 쫒겨난 느낌이네요
10,토이스토리 속 버즈의 이야기를 볼 수 있어서 좋았습니다. 크리스에반스의 목소리도 반갑더라구요ㅎ
10,뭐야 평점 왜이래ㅡㅡㅈㄴ재미없다길래 기대 않고 봤는데그정돈 아님ㅡㅡ 난 ㅈㄴ재밌어 액션 최고
8,마녀 주인공들은 귀여운게 전통인가 ㅎㅎ이번 주인공도 많이 귀엽네요
10,아무생각 없이 스트레스 해소하기에는 최고입니다.
10,너무 꿀잼…3편 빨리 나와라
1,오글거리고 지루 했다. 훈정아 3편은 만들지 말자.
10,아이맥스 스크린으로 경험하는 광활한 우주는 정말 환상적이였습니다
8,킬링타임용으로 아주 좋은 영화
1,재밌다고 하는 사람 이해가 좀 안되네요 중간에 나가고 싶은 영화 처음입니다
1,전체이용가에 pc 최악
8,기대하고본 마녀보다 낫다..
9,"전편 안보고 짧은 요약 영상 보고 같이 본 친구도 매우 만족했고, 전편 6번 본 나도 만족했음.개봉날 평점이 8점, 7점 오락가락에 안좋은 평가가 많아서 솔직히 같이 보자고 한 친구한테 미안했음.막상 보니 전편 안봐도 보고나서 전편 봐도 될 법한 내용. 개그코드는 없다고 보면 됨.세계관이 중점이라 그걸 좋아한다면 이번편도 만족할 듯! 잘봤고 다음편이 어서 보고싶을뿐:)"
1,1이 훨씬다 재미있었어요.. 연기도 너무 어색하고 말로 표현못할..ㅠㅠ아쉽네요 너무
10,능력도 쩔고 책임감 있는 버즈의 모습에 나 자신를 반성하게 되는 것 같아요 영화 보면서 많은 걸 느끼게 되었네요..ㅎㅎ
1,이건 뭐...스토리랄 것이 없어요.초반에 하품 10번
8,반가운 얼굴들 봐서 좋았어요!
1,스타워즈는 6부작 입니다 나머지는 팬영상이며 까메오로 6부작 주연들이 등장하고 죽습니다
4,후속작은 역시나 망한다..
6,1편보단 아쉽다마지막 10분이 하이라이트그 전에 졸았음 ㅠ
10,졸잼! 김다미 역시 최고
2,마녀 1보고 기대만땅으로 개봉일 맞춰 가서 봤는데..정말 기대이하 입니다.아니 여주인공이 슈퍼맨하고 싸워도 이기겠네요..이게 뭥미....
8,"마녀1과 비슷한 흐름의 전개방식.. 중, 후반 액션과 초인간들의 더 업그레이드된 능력을 볼 수 있음..  다만 연기력이 다소 조금 아쉬움. 마녀 part3 를 기대하며~"
10,이거 두번보고왔다. 제대로인듯..
3,솔직히 1편을 너무 재미있게 봐서 너무 많이 기대했는데 정말 재미없음 마지막 20분정도 액션 정도 볼만하고 그전에는 3편을 이어가려고하는 줄거리였음
1,"재미없어요. 중간내용이라는 핑계 깔고봐도 너무재미없어요내용 엄청끌고 지루해서 집에서 드라마보는거마냥 딴짓하면서 봤습니다..액션나올라그러면 끊고 또 다른얘기하고 제대로 보여주지도않고애들마다 앞내용 실컷 보여준거에비해 액션은 결국 얼마 보여주지도 못하는 레벨낮은 애들들이었고CG티 너무나서 거부감도 들었습니다왜이렇게 욕심 부렸는지;깡패들 라인 특히, 왜 끝까지 나온건지 ; 앞에잠깐 나오고 말았다면모를까 끝까지 하는거없이 반복되는 장면+분량은 왜그렇게 많은지마치 신입들 얼굴한번 비춰줄라고 꾸역 끼워맞춰 넣고 말은 느낌들이네요 캐릭터낭비 제일심함기대했던 시리즈가 망한거같아서 더 실망스럽네요배우들 연기만좋습니다"
10,와칸다 포에버!!!!
1,불면증으로 일주일정도 잠을못잤는데 간만에 푹자고나왔습니다
1,이영화 작가가 만든 영화는 거르면 됩니다.
1,"대사, 스토리 다 오글거린다 딱 6점이 적당한듯cg도 너무 어색함"
6,이게 이렇게 평점이 높다고? 생각이 드는 영화
8,영상미가 정말 좋았어요
4,3편은 다음달 나오나요??
5,"초, 중반은 너무 지루하고 러닝타임도 긴 편"
9,3편을 위한 중간다리로 생각되는데 전편의 약간 오글거리는 느낌?이 조금 강해진듯. 하지만 3편이 기대되기는 합니다 근데 15세치고는 많이 잔인...하긴함
2,정말 재미 없다 폼만 잡다가 끝난 골때리는 영화
10,"3편 빨리, 어서 빨리, 이렇게 끝나면 안되지  ㅋ"
10,몇년만에 극장가서 재미나게 본 영화
7,오늘 조조로 보고왔어요. 전편보단 임펙트가 없어진건 확실하다고봅니다 여러 악조건이 겹쳐진후 촬영했다고 들었어요 그래서인지 허술한 부분들이많아보였어요 사실상 김다미배우님의 출연은 카메오 수준이며 3편을 가기위한 디딤돌이라 생각됩니다 스포) 토우4인방 서은수팀 이렇게 두팀이 막판 농장에서 결투씬이 액션에 최고조이며 신시아배우님에 연기력은 좋았으나 이제까지 보아온 능력중 탈급으로 뭐 어나더레벨입니다 개인적으로 마지막 토우팀하고 김다미배우님 신시아배우님 두분이 팀웍으로했으면 좀더 좋았을텐데 김다미님이 다른 촬영 때문에 마지막에 카메오로 촬영한듯합니다 CG는 뭔가 아쉬운듯한 마무리로인해서 이질감이 심한편이였어요 전편 재미있게 관람한 분들이라면 나름 만족한 영화일듯합니다
4,화산고 보는줄 착각함액션만 화려하지 스토리는 개연성 제로인신세계 박훈정 감독님 요즘 감 떨어지신듯근데 진구는 왜 나온거임? 노이해
8,"초중반 전개와 필요없어 보이는 대화와 씬은 아쉽지만, 전반적인 스토리와 극 막바지는 대단하다."
10,마지막 액션 김다미 나올때 소름!
4,"1. 사람간 정,사랑,추억이 쌓였음을 표현하는 시간적 흐름연출이 미숙함. 2. 3d액션에 물리적 중력감을 3d로 표현못해서 너무 그래픽스러움"
6,이야기의 빌드업이 없음…무슨말하려는지는 알겠는데..음? 자기가족에게나 충실하자를 배운 영화
2,러닝타임도 길고 영어발음은 어색하고.. 중국어만쏼ㄹ쏼라나와서 중국액션보는거같고..마녀1을 재밋게봐서.. 너무 실망적.. 쌓아가는 스토리나 기승전결도 애매하고.. 구자현은 조금나오고 기다렷다 본 쿠키도 별로 의미없고..매우실망스럽습니다.. 여기 댓글알바들많은것같아요..마녀1을 기대하고 봣다면 보지마세요..
10,여기보면  기대한만큼 재밌었던 영화가 있으셨는지들 궁금하군요
10,
10,역시 마녀~!! 마녀3 빨리보고싶어요!
8,마녀1에선 여린소녀가 초능력쓰고 마구잡이로 때리는게 신박했지만 2편에서는 좀 분위기 깨는 진구의 능글연기가 너무 많아서 장르가 좀 헷갈렸고 신박함이 없었음 재밌고 액션 좋았어요
10,
10,"솔직히 3편을 위한 예고편 느낌이긴 합니다. 하고싶은 이야기? 내용? 이 너무 많은데 137분이라는 영화에 담아내려고 애쓴 느낌입니다. 정작 소녀의 이름도 지어지지 않고 영화한편에 담아야하니까 훌훌 지나가버린 느낌. 액션씬 하나는 기깔나서(개인적으로 좋았습니다) 다시보고싶은 생각이 지배적일 정도입니다. 김다미 배우님 마지막에라도 나와주셔서 정말 감사드립니다. 오징어게임처럼 드라마의 형식으로 영화같이 나왔다면 더욱 좋았을까요?미래를 위해 이 영화만큼은 1,000만을 찍었으면 좋겠습니다. 한국도 이런 액션물을 잘한다는 인식이 좋은 것 같아요"
1,망한영화의 공통점1.런닝타임이 엄청 길다.2.등장인물이 많다.3.내용이 없다.여기 이종석은 왜 나왔남?
8,액션쾌감 좋긴한데 마동석 연기가 전편에 비해서 좀 오버한다 그래야돼나 좀 부자연스런 장면이 몇개있었음  강해상연기가 개지렷음
10,웃음포인트도 많았고 재밌게 봤습니다진구가 다했다
8,음..  확실히 1편보다는 긴장감과 몰입도가 떨어지네요. 말이 너무 많고... 격투씬도 좀 아쉽고 마지막에 3편을 예상해서 인지 너무 싱겁게 끝나는것같아요. 한번더 액션 씬이 있었으면 더 좋을듯해요
9,범죄도시2와 경쟁 해볼만하다고 생각했는데 범죄도시가 너무 흥행해버려 따라잡기 힘들듯 하지만 전세계에 깔려있는 마녀2를 기다리는 팬들이 많아 국내에선 어떨지 몰라도 전세계적으로 따지면 범죄도시 5배 이상 수익을 낼듯 120개국에서 선주문 들어온게 변수
10,너무 재밌다 . 지루할 틈이 없네 손석구 연기 진짜 끝내준다 이런 영화는 코로나 시국에도 천만 가는 영화다
10,액션이 너무 좋았음~~~
10,여기  1점  주신분들  그냥  악플러임..  솔직히  스토리의  완성도는  1편에 비해서 떨어진다고  인정합니다^^ 하지만  그  스토리를  뛰어넘을  만한  강하고  짜릿한  액션과  쾌감이 밀려와서  소름돋네요!!타격감  쩔고  킬링타임 으로  충분히  짤  뽑혔다고  봅니다.  저는  추천합니다!!
8,양의 기억이 넘 따수워서 눈물줄줄 영상미 너무 좋가
10,토이스토리 시절도 생각나고 아이맥스 화면속에서 펼쳐지는 우주가 장관이었다
6,"후속편이 다 잘되기 쉽지 않죠  범죄도시2 보고 너무 기대를 했나 조금 아쉽네요  연기자, 액션 다 괜찮은데 이게 원천적인 편집이랑 스토리 부분이 문제인것 같네요"
1,재미도 없는데 길기는 더럽게 길다 ㅡㅡ
10,기분좋게 보고 나올 수 있는 영화
6,전편이너무재밋어서기대햇는데...조금기대에는..하지만  액션씬은   속이확뚫리게  통쾌하고재밋었습니다.   잘봣습니다!
10,
1,대체로 구렸음 액션 속도 빠르게 표현한다고 사람 날리고 액션씬은 어두워서 보이지도 않고 스토리 1편이랑 이어진다지만 갑자기 급 전개 되는 느낌도 없지않아 있음 그리고 오글거림 마녀1는 중2병 초기단계라면 마녀2는 중2병 말기 대사도 말투도 위화감 없고 그냥 딱 중학생 애들 말투 같았음 그리고 분위기 어두운데 말도 안되는 말장난으로 몰입도 최악으로 깨져버리니… 마녀3은 안 봐도 비디오일듯아무리 댓글 알바 풀고 난리를 쳐도 이 글에 공감하는 사람은 나올듯 아 그리고 무슨 3D 애니메이션 극장판도 아니고 말도 안되는 연출은 뭐지…
1,아니 진짜 돈이 아깝네;;
5,좋은 소재인데 마무리가 아쉽네요. 이것저것 다 챙기려다 아무것도 아니게 된.. 그래도 공룡이나 액션은 볼만합니다..ㅎㅎ
10,오타쿠들만 이해할듯 .. 큰소리로 웃으면서 봤내요 . 보고 나서 기분도 상큼  평점 너무 낮아서 10점 주고 가요
1,이건 스타워즈가 아니다.
8,2
10,굿!꼭 보세요~~재밌어요.
2,1편은 존잼이었는데 2편 망작됨ㅠㅠ 최우식 김다미의 존재감이 컷음...그나마 최은수였나 그여자분 연기변신 괜찮았음.. 다른건 볼거없음 이종석도 오글거리고... ㅠㅠ 지루했음
7,1
10,좀 지루한데 마지막쩜 나쁘지 않은 듯
6,볼만은하다. 추천은 못한다. 야하냐고? 그리 야하지 않다. 괴기스럽지 않지만 괴기스럽다. 변태적 망상을 아름답게 잘 꾸며놓았다고 봐야할듯.
8,액션도 그런대로 볼만했는데 3편 가야되겠네요.
10,재미있었다 1편에 이어 3편으로 가기위한 빌드업용
8,뭔가 화끈할 것을 기대했는데....조금 아쉽!뭐..그럭 저력 볼만 합니다.
10,한번 보세요 보시면 느끼실 겁니다
8,굿
4,박훈정 감독...하...
10,최고의 액숀 잼있게 잘봤어요 !!
6,재미없고 기대할게 없는 영화네요
7,r굿
10,마동석이 없으면 범죄도시가 아니라 그냥 도시될 뻔ㅋㅋㅋㅋ
10,액션은 굿 킬링으로 볼만함
10,이종석님 잠시 나왔지만 역시 최고에요^^
10,유쾌하고 재밌는 추억 가득한 영화였어요 아이들도 어른들도 모두 즐겁게 볼 수 있는 영화입니다
3,마녀1이 10점이면 마녀2는 3점...처음부터 영화가 왜 이러지 했는데 중국말이 나올때혹시가 역시였구나...ㅡㅡ액션신 말고는 볼거 없음...마지막으로 이 영화에 최대 오점...욕을 중구남방으로 하는데...19금 영화에서도 이런식으로 대사에 욕을 안하는데...참 안타깝네요...
7,대체로 평이했지만 액션은 볼만했네요
2,진짜별로... 기대를한만큼 실망이큰법.액션만 살짝볼만했는대 그거마져도살짝....마지막 십분도안되게 김다미나옴3만들려고 2는그냥밑밥정도수준
9,액션이나 영상이 좋았다. 분위기도 좋았음 근데 여배우들이 너무 비슷비슷하고캐릭터그룹이 좀 많다보니까 몰입도가 떨어짐 아쉽지만 재밌었어요
6,진구 없는 마녀는 힘들지 않을까 ㅋㅋ
10,"괜찮았어요, 볼만한듯"
5,그럭저럭 하지만 재미는 없다
10,마녀1을 너무 재밌게봐서 혹시 실망할까 조마조마해하며 관람했는데 실망 안했습니다 정말 재미있었어요
10,추억의 캐릭터를 다시보니 반갑기도 하고 뭔가 뭉클행ㅠ
8,1편보다 재미있네요.
10,잉 삭스ㅜㅜㅜ 넘 귀여버ㅜㅜㅜㅜ삭스 때문에 한번 더 보러갈거야!!
4,개인적으로 마녀 캐릭터 이미지는 구자윤이 제일 잘 맞고 잘 살린듯 합니다 앞부분은 루즈했구요 3까지 이어질 타임라인같은데 2보다는 1이 더 기억에 남는 영화입니다
10,마녀3 완전 기대.최근 본 영화중 최고
10,디즈니픽사의 상상력은 대단합니다
10,그래픽도 뛰어나고 재미있고 교훈도 있어요 심지어 음악도까지 넘 좋았어요ㅋㅋ
10,근래 영화 볼꺼 없었는데 젤 잼있고 잘 만들었음. 삭스 최고였음.ㅋㅋ
10,영상이 너무 좋네요 정말 시간 가는 줄 모르고 몰입해서 봤습니다.
10,재미있었어요.캐릭터도 귀엽고요!
10,토이스토리 팬이라면 좋아하실거 같아요ㅎㅎㅎ
4,이제 최고의 브로커는 CJ(이미경)라는 것을 입증하는 영화아닐까? 모두가 태업한 것이라면 납득한다.
10,삭스가 다했다ㅋㅋㅋㅋ삭스 없었으면 버즈 어쩔 뻔 했어
2,대사가 씨발이란 말 밖에 없음
10,"통탄스럽습니다. 이런 자세한 내용을 모르고 뉴스만 보고 그런가보다 설마 아니땐 굴뚝에 연기가 나랴 하는 마음으로 반신반의 하고 있었는데 나의 무지함이 누구에게는 먹잇감을 물어뜯는데 활용되고 있었음을 알고 난 후에 속시끄러워서 알고 싶지 않다고 외면했던 스스로가 너무 부끄러웠습니다. 이제부터는 현실을 직시하고 괴롭더라도 똑바로 봐야겠습니다. 두 눈을 부릅뜨고 아니땐 굴뚝에 연기 피우며 세워진 현 정권이 어떻게 되어가는지 똑똑히 봐야겠습니다. 더는 회피하지 않겠습니다. 깊은 반성의 시간, 개탄의 시간이었습니다."
5,졸려죽는 줄 알았음 배우 얼굴보는 재미로 봄
10,와  액션신은 진짜 헐리웃 영화 뺨 치네요 ㅋㅋㅋ  액션은 월드클래스일듯
8,"싸움씬만은 진짜 진심인 영화!! 스토리 흐름은 너무 어정쩡하고 어설픕니다... 마트에서의 여주나 다른 배우들 행동들은 너무 황당하다 못해, 화까지 나더라구요... 본인 존재 이유나 이런 사단의 원인에 대한 고민같은 부분은 1도 없음;;;"
10,재미있게 봤어요. 잘봤습니다. 좋아요.
10,원래 이런 감상평 안쓰고 쓰지도 않는데 너무 평들이 안좋아서 씀다들 초반에 지루하다고해서 걱정하면서 봤는데글쎄...? 난 오히려 초반부터 너무 재밌게 봤음신시아 연기도 너무 좋았고 액션은 말할 것도 없이 멋있고 시간이 너무 빨리가서 오히려 아쉬웠음 적극 추천
